ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 mbcs.py:38(getregentry)
        1    0.000    0.000    0.000    0.000 {sorted}
       10    0.000    0.000    0.000    0.000 collections.py:363(<genexpr>)
        1    0.000    0.000    0.000    0.000 locale.py:493(getdefaultlocale)
        1    0.000    0.000    0.000    0.000 {_codecs.mbcs_decode}
       20    0.000    0.000    0.000    0.000 JpegImagePlugin.py:289(_accept)
        8    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        7    0.000    0.000    0.000    0.000 Tkinter.py:1430(grid_columnconfigure)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2488(Entry)
        6    0.000    0.000    0.000    0.000 Image.py:2651(register_save)
       20    0.000    0.000    0.000    0.000 {method 'isblock' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 ntpath.py:174(split)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
       10    0.000    0.000    0.000    0.000 collections.py:361(<genexpr>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:46(GifImageFile)
        2    0.000    0.000    0.000    0.000 __init__.py:1559(getLogger)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:885(TiffImageFile)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3434(Spinbox)
        1    0.000    0.000    0.000    0.000 locale.py:546(getlocale)
        1    0.000    0.000    0.000    0.000 ImageFile.py:540(PyDecoder)
        2    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        1    0.000    0.000    0.000    0.000 Tkinter.py:221(Variable)
       61    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2001(Grid)
        7    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        3    0.000    0.000    0.000    0.000 Tkinter.py:1526(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1385(__init__)
        1    0.000    0.000    0.000    0.000 locale.py:363(normalize)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        1    0.000    0.000    0.000    0.000 __init__.py:1104(Logger)
        1    0.000    0.000    0.000    0.000 genericpath.py:93(_splitext)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3614(PanedWindow)
       13    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
